Gene_UniProt,Ensembl,Gene_description,UniProt_protein,MIM_Number,Gene_HGNC,Entrez Gene ID,Main_location,Additional_location,Extracellular_location,GO_id
RASSF1,ENSG00000068028,Ras association domain family member 1,Q9NS23,605082.0,RASSF1,11186.0,,,,
FGFR3,ENSG00000068078,Fibroblast growth factor receptor 3,P22607,134934.0,FGFR3,2261.0,Endoplasmic reticulum,,Predicted to be secreted,Endoplasmic reticulum (GO:0005783)
IFI35,ENSG00000068079,Interferon induced protein 35,P80217,600735.0,IFI35,3430.0,Cytosol;Nucleoplasm,Nucleoli,Predicted to be secreted,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
HEATR6,ENSG00000068097,HEAT repeat containing 6,Q6AI08,,HEATR6,63897.0,Mitochondria,,,Mitochondria (GO:0005739)
COASY,ENSG00000068120,Coenzyme A synthase,Q13057,609855.0,COASY,80347.0,Mitochondria,Connecting piece,,Connecting piece ();Mitochondria (GO:0005739)
PLEKHH3,ENSG00000068137,"Pleckstrin homology, MyTH4 and FERM domain containing H3",Q7Z736,,PLEKHH3,79990.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
MEF2A,ENSG00000068305,Myocyte enhancer factor 2A,Q02078,600660.0,MEF2A,4205.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
OTUD5,ENSG00000068308,OTU deubiquitinase 5,Q96G74,300713.0,OTUD5,55593.0,Cytosol,Nucleoli fibrillar center;Nucleoplasm,,Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
TFE3,ENSG00000068323,Transcription factor binding to IGHM enhancer 3,P19532,314310.0,TFE3,7030.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
TBC1D25,ENSG00000068354,TBC1 domain family member 25,Q3MII6,311240.0,TBC1D25,4943.0,,,,
ACSL4,ENSG00000068366,Acyl-CoA synthetase long chain family member 4,O60488,300157.0,ACSL4,2182.0,Golgi apparatus,Mitochondria,,Golgi apparatus (GO:0005794);Mitochondria (GO:0005739)
INPP5A,ENSG00000068383,Inositol polyphosphate-5-phosphatase A,Q14642,600106.0,INPP5A,3632.0,Cytosol,Plasma membrane,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
GPKOW,ENSG00000068394,G-patch domain and KOW motifs,Q92917,301003.0,GPKOW,27238.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
GRIPAP1,ENSG00000068400,GRIP1 associated protein 1,Q4V328,300408.0,GRIPAP1,56850.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
FTSJ1,ENSG00000068438,FtsJ RNA 2'-O-methyltransferase 1,Q9UET6,300499.0,FTSJ1,24140.0,Cytosol,,,Cytosol (GO:0005829)
PRR11,ENSG00000068489,Proline rich 11,Q96HE9,615920.0,PRR11,55771.0,Endoplasmic reticulum,,,Endoplasmic reticulum (GO:0005783)
REEP1,ENSG00000068615,Receptor accessory protein 1,Q9H902,609139.0,REEP1,65055.0,,,,
ATP11A,ENSG00000068650,ATPase phospholipid transporting 11A,P98196,605868.0,ATP11A,23250.0,Vesicles,Golgi apparatus,,Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
POLR1A,ENSG00000068654,RNA polymerase I subunit A,O95602,616404.0,POLR1A,25885.0,Nucleoli fibrillar center,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
LAPTM4A,ENSG00000068697,Lysosomal protein transmembrane 4 alpha,Q15012,618837.0,LAPTM4A,9741.0,Golgi apparatus;Vesicles,Plasma membrane,,Golgi apparatus (GO:0005794);Plasma membrane (GO:0005886);Vesicles (GO:0043231)
TTC7A,ENSG00000068724,Tetratricopeptide repeat domain 7A,Q9ULT0,609332.0,TTC7A,57217.0,,,,
IP6K2,ENSG00000068745,Inositol hexakisphosphate kinase 2,Q9UHH9,606992.0,IP6K2,51447.0,Nucleoli fibrillar center,Cell Junctions;Nucleoplasm,,Cell Junctions (GO:0030054);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
SRBD1,ENSG00000068784,S1 RNA binding domain 1,Q8N5C6,,SRBD1,55133.0,Cytosol;Mitochondria,,,Cytosol (GO:0005829);Mitochondria (GO:0005739)
KIF2A,ENSG00000068796,Kinesin family member 2A,O00139,602591.0,KIF2A,3796.0,Annulus;Basal body;Centrosome;Nucleoli;Nucleoplasm,Cytosol;Mid piece;Mitotic spindle;Principal piece,,Annulus ();Basal body (GO:0036064);Centrosome (GO:0005813);Cytosol (GO:0005829);Mid piece ();Mitotic spindle (GO:0072686);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654);Principal piece ()
RASGRP2,ENSG00000068831,RAS guanyl releasing protein 2,Q7LDG7,605577.0,RASGRP2,10235.0,Plasma membrane,,,Plasma membrane (GO:0005886)
PSME4,ENSG00000068878,Proteasome activator subunit 4,Q14997,607705.0,PSME4,23198.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
IFT80,ENSG00000068885,Intraflagellar transport 80,Q9P2H3,611177.0,IFT80,57560.0,,,,
SIRT2,ENSG00000068903,Sirtuin 2,Q8IXJ6,604480.0,SIRT2,22933.0,Cytosol;Nucleoli,Nucleoplasm;Plasma membrane,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
ERLEC1,ENSG00000068912,Endoplasmic reticulum lectin 1,Q96DZ1,611229.0,ERLEC1,27248.0,,,,
PPP2R5B,ENSG00000068971,Protein phosphatase 2 regulatory subunit B'beta,Q15173,601644.0,PPP2R5B,5526.0,,,,
PYGM,ENSG00000068976,"Glycogen phosphorylase, muscle associated",P11217,608455.0,PYGM,5837.0,,,,
PAGE1,ENSG00000068985,PAGE family member 1,O75459,300288.0,PAGE1,8712.0,Nucleoli fibrillar center,Mitochondria;Nucleoplasm,,Mitochondria (GO:0005739);Nucleoli fibrillar center (GO:0001650);Nucleoplasm (GO:0005654)
PITX1,ENSG00000069011,Paired like homeodomain 1,P78337,602149.0,PITX1,5307.0,Nucleoli,,,Nucleoli (GO:0005730)
TRPC7,ENSG00000069018,Transient receptor potential cation channel subfamily C member 7,Q9HCX4,,TRPC7,57113.0,,,,
MAST4,ENSG00000069020,Microtubule associated serine/threonine kinase family member 4,O15021,618002.0,MAST4,375449.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
ADGRF5,ENSG00000069122,Adhesion G protein-coupled receptor F5,Q8IZF2,620874.0,ADGRF5,221395.0,,,,
SDK2,ENSG00000069188,Sidekick cell adhesion molecule 2,Q58EX2,607217.0,SDK2,54549.0,,,,
ADAM7,ENSG00000069206,ADAM metallopeptidase domain 7,Q9H2U9,607310.0,ADAM7,8756.0,,,,
NUP133,ENSG00000069248,Nucleoporin 133,Q8WUM0,607613.0,NUP133,55746.0,Nuclear membrane,,,Nuclear membrane (GO:0031965)
NUCKS1,ENSG00000069275,Nuclear casein kinase and cyclin dependent kinase substrate 1,Q9H1E3,611912.0,NUCKS1,64710.0,Nucleoplasm,Nucleoli,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
VPS35,ENSG00000069329,VPS35 retromer complex component,Q96QK1,601501.0,VPS35,55737.0,Endosomes;Lysosomes,,,Endosomes (GO:0005768);Lysosomes (GO:0005764)
DNAJA2,ENSG00000069345,DnaJ heat shock protein family (Hsp40) member A2,O60884,611322.0,DNAJA2,10294.0,Cytosol;Nucleoli,,,Cytosol (GO:0005829);Nucleoli (GO:0005730)
BCL3,ENSG00000069399,BCL3 transcription coactivator,P20749,109560.0,BCL3,602.0,Nucleoplasm,Basal body;Cytosol;Midbody;Vesicles,,Basal body (GO:0036064);Cytosol (GO:0005829);Midbody (GO:0030496);Nucleoplasm (GO:0005654);Vesicles (GO:0043231)
KCNAB2,ENSG00000069424,Potassium voltage-gated channel subfamily A regulatory beta subunit 2,Q13303,601142.0,KCNAB2,8514.0,,,,
ABCC9,ENSG00000069431,ATP binding cassette subfamily C member 9,O60706,601439.0,ABCC9,10060.0,Nucleoplasm;Plasma membrane,,,Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
GAL,ENSG00000069482,Galanin and GMAP prepropeptide,P22466,137035.0,GAL,51083.0,Golgi apparatus,Vesicles,Predicted to be secreted,Golgi apparatus (GO:0005794);Vesicles (GO:0043231)
CLEC2D,ENSG00000069493,C-type lectin domain family 2 member D,Q9UHP7,605659.0,CLEC2D,29121.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
FUNDC1,ENSG00000069509,FUN14 domain containing 1,Q8IVP5,300871.0,FUNDC1,139341.0,,,,
MAOB,ENSG00000069535,Monoamine oxidase B,P27338,309860.0,MAOB,4129.0,,,,
RORA,ENSG00000069667,RAR related orphan receptor A,P35398,600825.0,RORA,6095.0,Nucleoli,,,Nucleoli (GO:0005730)
DRD4,ENSG00000069696,Dopamine receptor D4,P21917,126452.0,DRD4,1815.0,Plasma membrane,Centrosome,,Centrosome (GO:0005813);Plasma membrane (GO:0005886)
TGFBR3,ENSG00000069702,Transforming growth factor beta receptor 3,Q03167,600742.0,TGFBR3,7049.0,Cytosol,,Predicted to be secreted,Cytosol (GO:0005829)
PLA2G10,ENSG00000069764,Phospholipase A2 group X,O15496,603603.0,PLA2G10,8399.0,,,,
HES2,ENSG00000069812,Hes family bHLH transcription factor 2,Q9Y543,609970.0,HES2,54626.0,,,,
ATP1B3,ENSG00000069849,ATPase Na+/K+ transporting subunit beta 3,P54709,601867.0,ATP1B3,483.0,Plasma membrane,,,Plasma membrane (GO:0005886)
NEDD4,ENSG00000069869,NEDD4 E3 ubiquitin protein ligase,P46934,602278.0,NEDD4,4734.0,Cytosol;Nucleoplasm,,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
PIGB,ENSG00000069943,Phosphatidylinositol glycan anchor biosynthesis class B,Q92521,604122.0,PIGB,9488.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
MAPK6,ENSG00000069956,Mitogen-activated protein kinase 6,Q16659,602904.0,MAPK6,5597.0,Cytosol,Microtubules;Primary cilium,,Cytosol (GO:0005829);Microtubules (GO:0015630);Primary cilium (GO:0005929)
GNB5,ENSG00000069966,G protein subunit beta 5,O14775,604447.0,GNB5,10681.0,Nuclear speckles,Centrosome;Rods & Rings,,Centrosome (GO:0005813);Nuclear speckles (GO:0016607);Rods & Rings ()
RAB27A,ENSG00000069974,"RAB27A, member RAS oncogene family",P51159,603868.0,RAB27A,5873.0,Mid piece;Principal piece,,,Mid piece ();Principal piece ()
HDHD5,ENSG00000069998,Haloacid dehalogenase like hydrolase domain containing 5,Q9BXW7,,HDHD5,27440.0,Mitochondria,,,Mitochondria (GO:0005739)
UFD1,ENSG00000070010,Ubiquitin recognition factor in ER associated degradation 1,Q92890,601754.0,UFD1,7353.0,Cytosol;Nucleoplasm,Nucleoli,,Cytosol (GO:0005829);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
LRP6,ENSG00000070018,LDL receptor related protein 6,O75581,603507.0,LRP6,4040.0,,,,
GUCY2C,ENSG00000070019,Guanylate cyclase 2C,P25092,601330.0,GUCY2C,2984.0,Vesicles,,,Vesicles (GO:0043231)
SCT,ENSG00000070031,Secretin,P09683,182099.0,SCT,6343.0,,,,
PHRF1,ENSG00000070047,PHD and ring finger domains 1,Q9P1Y6,611780.0,PHRF1,57661.0,,,,
ELP1,ENSG00000070061,Elongator acetyltransferase complex subunit 1,O95163,603722.0,ELP1,8518.0,Cytosol,Nucleoplasm,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
NUCB2,ENSG00000070081,Nucleobindin 2,P80303,608020.0,NUCB2,4925.0,Golgi apparatus,,Predicted to be secreted,Golgi apparatus (GO:0005794)
PFN2,ENSG00000070087,Profilin 2,P35080,176590.0,PFN2,5217.0,,,,
PTPN3,ENSG00000070159,Protein tyrosine phosphatase non-receptor type 3,P26045,176877.0,PTPN3,5774.0,,,,
SPTB,ENSG00000070182,"Spectrin beta, erythrocytic",P11277,182870.0,SPTB,6710.0,Cytosol,,,Cytosol (GO:0005829)
DAPP1,ENSG00000070190,Dual adaptor of phosphotyrosine and 3-phosphoinositides 1,Q9UN19,605768.0,DAPP1,27071.0,,,,
FGF10,ENSG00000070193,Fibroblast growth factor 10,O15520,602115.0,FGF10,2255.0,,,,
SLC44A1,ENSG00000070214,Solute carrier family 44 member 1,Q8WWI5,606105.0,SLC44A1,23446.0,Mitochondria,Nucleoplasm,,Mitochondria (GO:0005739);Nucleoplasm (GO:0005654)
TMEM260,ENSG00000070269,Transmembrane protein 260,Q9NX78,617449.0,TMEM260,54916.0,,,,
SMG6,ENSG00000070366,SMG6 nonsense mediated mRNA decay factor,Q86US8,610963.0,SMG6,23293.0,Nucleoli,Basal body;Cytosol;Plasma membrane,,Basal body (GO:0036064);Cytosol (GO:0005829);Nucleoli (GO:0005730);Plasma membrane (GO:0005886)
EXOC5,ENSG00000070367,Exocyst complex component 5,O00471,604469.0,EXOC5,10640.0,Vesicles,,,Vesicles (GO:0043231)
CLTCL1,ENSG00000070371,Clathrin heavy chain like 1,P53675,601273.0,CLTCL1,8218.0,Vesicles,,,Vesicles (GO:0043231)
FGF22,ENSG00000070388,Fibroblast growth factor 22,Q9HCT0,605831.0,FGF22,27006.0,,,,
FSTL3,ENSG00000070404,Follistatin like 3,O95633,605343.0,FSTL3,10272.0,Nucleoplasm,,Predicted to be secreted,Nucleoplasm (GO:0005654)
DGCR2,ENSG00000070413,DiGeorge syndrome critical region gene 2,P98153,600594.0,DGCR2,9993.0,,,,
RNF126,ENSG00000070423,Ring finger protein 126,Q9BV68,615177.0,RNF126,55658.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
MNT,ENSG00000070444,MAX network transcriptional repressor,Q99583,603039.0,MNT,4335.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ZXDC,ENSG00000070476,ZXD family zinc finger C,Q2QGD7,615746.0,ZXDC,79364.0,Nucleoli,,,Nucleoli (GO:0005730)
JMJD6,ENSG00000070495,"Jumonji domain containing 6, arginine demethylase and lysine hydroxylase",Q6NYC1,604914.0,JMJD6,23210.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
POLB,ENSG00000070501,DNA polymerase beta,P06746,174760.0,POLB,5423.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
ST6GALNAC1,ENSG00000070526,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 1",Q9NSC7,610138.0,ST6GALNAC1,55808.0,Golgi apparatus,Nucleoplasm,,Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
WIPI1,ENSG00000070540,"WD repeat domain, phosphoinositide interacting 1",Q5MNZ9,609224.0,WIPI1,55062.0,Golgi apparatus,Cytosol;Nucleoplasm,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
FRMPD1,ENSG00000070601,FERM and PDZ domain containing 1,Q5SYB0,616919.0,FRMPD1,22844.0,,,,
GBA2,ENSG00000070610,Glucosylceramidase beta 2,Q9HCG7,609471.0,GBA2,57704.0,Golgi apparatus;Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794);Nucleoplasm (GO:0005654)
NDST1,ENSG00000070614,N-deacetylase and N-sulfotransferase 1,P52848,600853.0,NDST1,3340.0,,,,
ASNS,ENSG00000070669,Asparagine synthetase (glutamine-hydrolyzing),P08243,108370.0,ASNS,440.0,Cytosol,,,Cytosol (GO:0005829)
AP3M2,ENSG00000070718,Adaptor related protein complex 3 subunit mu 2,P53677,610469.0,AP3M2,10947.0,,,,
CNGB1,ENSG00000070729,Cyclic nucleotide gated channel subunit beta 1,Q14028,600724.0,CNGB1,1258.0,Cytosol;Plasma membrane,,,Cytosol (GO:0005829);Plasma membrane (GO:0005886)
ST6GALNAC2,ENSG00000070731,"ST6 N-acetylgalactosaminide alpha-2,6-sialyltransferase 2",Q9UJ37,610137.0,ST6GALNAC2,10610.0,,,,
CHAT,ENSG00000070748,Choline O-acetyltransferase,P28329,118490.0,CHAT,1103.0,,,,
PABPC1,ENSG00000070756,Poly(A) binding protein cytoplasmic 1,P11940,604679.0,PABPC1,26986.0,Cytosol,,,Cytosol (GO:0005829)
TESK2,ENSG00000070759,Testis associated actin remodelling kinase 2,Q96S53,604746.0,TESK2,10420.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
CFAP20,ENSG00000070761,Cilia and flagella associated protein 20,Q9Y6A4,617906.0,CFAP20,29105.0,Nucleoplasm;Principal piece,Equatorial segment,,Equatorial segment ();Nucleoplasm (GO:0005654);Principal piece ()
CSNK2A2,ENSG00000070770,Casein kinase 2 alpha 2,P19784,115442.0,CSNK2A2,1459.0,,,,
PTPN21,ENSG00000070778,Protein tyrosine phosphatase non-receptor type 21,Q16825,603271.0,PTPN21,11099.0,Cytosol,Golgi apparatus,,Cytosol (GO:0005829);Golgi apparatus (GO:0005794)
EIF2B3,ENSG00000070785,Eukaryotic translation initiation factor 2B subunit gamma,Q9NR50,606273.0,EIF2B3,8891.0,Cytosol;Vesicles,,,Cytosol (GO:0005829);Vesicles (GO:0043231)
CAMK2A,ENSG00000070808,Calcium/calmodulin dependent protein kinase II alpha,Q9UQM7,114078.0,CAMK2A,815.0,Plasma membrane;Primary cilium tip;Primary cilium transition zone;Principal piece,Calyx;Cell Junctions;Connecting piece;End piece;Perinuclear theca,,Calyx ();Cell Junctions (GO:0030054);Connecting piece ();End piece ();Perinuclear theca ();Plasma membrane (GO:0005886);Primary cilium tip ();Primary cilium transition zone ();Principal piece ()
TCOF1,ENSG00000070814,Treacle ribosome biogenesis factor 1,Q13428,606847.0,TCOF1,6949.0,Nucleoli fibrillar center,,,Nucleoli fibrillar center (GO:0001650)
CDC42,ENSG00000070831,Cell division cycle 42,P60953,116952.0,CDC42,998.0,Microtubules,Cytokinetic bridge,,Cytokinetic bridge (GO:0045171);Microtubules (GO:0015630)
OSBPL3,ENSG00000070882,Oxysterol binding protein like 3,Q9H4L5,606732.0,OSBPL3,26031.0,Cytosol,Nucleoli,,Cytosol (GO:0005829);Nucleoli (GO:0005730)
EPHA8,ENSG00000070886,EPH receptor A8,P29322,176945.0,EPHA8,2046.0,,,,
SLC12A3,ENSG00000070915,Solute carrier family 12 member 3,P55017,600968.0,SLC12A3,6559.0,,,,
RAD18,ENSG00000070950,RAD18 E3 ubiquitin protein ligase,Q9NS91,605256.0,RAD18,56852.0,Nuclear bodies;Nucleoplasm,Nuclear speckles,,Nuclear bodies (GO:0016604);Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654)
ATP2B1,ENSG00000070961,ATPase plasma membrane Ca2+ transporting 1,P20020,108731.0,ATP2B1,490.0,Plasma membrane,,,Plasma membrane (GO:0005886)
TRPM5,ENSG00000070985,Transient receptor potential cation channel subfamily M member 5,Q9NZQ8,604600.0,TRPM5,29850.0,,,,
NCK2,ENSG00000071051,NCK adaptor protein 2,O43639,604930.0,NCK2,8440.0,,,,
MAP4K4,ENSG00000071054,Mitogen-activated protein kinase kinase kinase kinase 4,O95819,604666.0,MAP4K4,9448.0,,,,
MGAT4A,ENSG00000071073,"Alpha-1,3-mannosyl-glycoprotein 4-beta-N-acetylglucosaminyltransferase A",Q9UM21,604623.0,MGAT4A,11320.0,Golgi apparatus,,Predicted to be secreted,Golgi apparatus (GO:0005794)
RPL31,ENSG00000071082,Ribosomal protein L31,P62899,617415.0,RPL31,6160.0,,,,
WDR1,ENSG00000071127,WD repeat domain 1,O75083,604734.0,WDR1,9948.0,Cell Junctions;Cytosol;Plasma membrane,,,Cell Junctions (GO:0030054);Cytosol (GO:0005829);Plasma membrane (GO:0005886)
SNX13,ENSG00000071189,Sorting nexin 13,Q9Y5W8,606589.0,SNX13,23161.0,,,,
MS4A12,ENSG00000071203,Membrane spanning 4-domains A12,Q9NXJ0,606550.0,MS4A12,54860.0,Cytosol;Plasma membrane,Endoplasmic reticulum;Golgi apparatus;Nucleoli,,Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783);Golgi apparatus (GO:0005794);Nucleoli (GO:0005730);Plasma membrane (GO:0005886)
ARHGAP10,ENSG00000071205,Rho GTPase activating protein 10,A1A4S6,609746.0,ARHGAP10,79658.0,Nucleoplasm,Cytosol;Nuclear membrane,,Cytosol (GO:0005829);Nuclear membrane (GO:0031965);Nucleoplasm (GO:0005654)
RPS6KA2,ENSG00000071242,Ribosomal protein S6 kinase A2,Q15349,601685.0,RPS6KA2,6196.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
ING3,ENSG00000071243,Inhibitor of growth family member 3,Q9NXR8,607493.0,ING3,54556.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
VASH1,ENSG00000071246,Vasohibin 1,Q7L8A9,609011.0,VASH1,22846.0,Basal body;Centrosome,Cytosol;Nucleoplasm,Predicted to be secreted,Basal body (GO:0036064);Centrosome (GO:0005813);Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
LMCD1,ENSG00000071282,LIM and cysteine rich domains 1,Q9NZU5,604859.0,LMCD1,29995.0,Cytosol;Nucleoplasm,Cell Junctions;Plasma membrane,,Cell Junctions (GO:0030054);Cytosol (GO:0005829);Nucleoplasm (GO:0005654);Plasma membrane (GO:0005886)
BUD23,ENSG00000071462,BUD23 rRNA methyltransferase and ribosome maturation factor,O43709,615733.0,BUD23,114049.0,Nucleoli;Nucleoplasm,,,Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
SEL1L,ENSG00000071537,SEL1L adaptor subunit of ERAD E3 ubiquitin ligase,Q9UBV2,602329.0,SEL1L,6400.0,,,,
TRIP13,ENSG00000071539,Thyroid hormone receptor interactor 13,Q15645,604507.0,TRIP13,9319.0,Nuclear speckles;Nucleoplasm,Acrosome;Cytosol;Equatorial segment;Principal piece,,Acrosome ();Cytosol (GO:0005829);Equatorial segment ();Nuclear speckles (GO:0016607);Nucleoplasm (GO:0005654);Principal piece ()
ATP6AP1,ENSG00000071553,ATPase H+ transporting accessory protein 1,Q15904,300197.0,ATP6AP1,537.0,,,,
TCF3,ENSG00000071564,Transcription factor 3,P15923,147141.0,TCF3,6929.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
TRIB2,ENSG00000071575,Tribbles pseudokinase 2,Q92519,609462.0,TRIB2,28951.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
DAZAP1,ENSG00000071626,DAZ associated protein 1,Q96EP5,607430.0,DAZAP1,26528.0,Nucleoplasm,Cytosol,,Cytosol (GO:0005829);Nucleoplasm (GO:0005654)
MBD3,ENSG00000071655,Methyl-CpG binding domain protein 3,O95983,603573.0,MBD3,53615.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
PRLH,ENSG00000071677,Prolactin releasing hormone,P81277,602663.0,PRLH,51052.0,,,,
HLTF,ENSG00000071794,Helicase like transcription factor,Q14527,603257.0,HLTF,6596.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
FAM50A,ENSG00000071859,Family with sequence similarity 50 member A,Q14320,300453.0,FAM50A,9130.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
FAM3A,ENSG00000071889,FAM3 metabolism regulating signaling molecule A,P98173,300492.0,FAM3A,60343.0,Nucleoli rim,Mitotic chromosome;Nucleoplasm,Predicted to be secreted,Mitotic chromosome (GO:0005694);Nucleoli rim (GO:0005730);Nucleoplasm (GO:0005654)
CPSF1,ENSG00000071894,Cleavage and polyadenylation specific factor 1,Q10570,606027.0,CPSF1,29894.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
MYO3B,ENSG00000071909,Myosin IIIB,Q8WXR4,610040.0,MYO3B,140469.0,,,,
CYBRD1,ENSG00000071967,Cytochrome b reductase 1,Q53TN4,605745.0,CYBRD1,79901.0,Plasma membrane,,,Plasma membrane (GO:0005886)
CDH19,ENSG00000071991,Cadherin 19,Q9H159,603016.0,CDH19,28513.0,,,,
PDCD2,ENSG00000071994,Programmed cell death 2,Q16342,600866.0,PDCD2,5134.0,Nucleoplasm,Cytokinetic bridge,,Cytokinetic bridge (GO:0045171);Nucleoplasm (GO:0005654)
SLC6A15,ENSG00000072041,Solute carrier family 6 member 15,Q9H2J7,607971.0,SLC6A15,55117.0,Nucleoli,Vesicles,,Nucleoli (GO:0005730);Vesicles (GO:0043231)
RDH11,ENSG00000072042,Retinol dehydrogenase 11,Q8TC12,607849.0,RDH11,51109.0,,,,
PRKACA,ENSG00000072062,Protein kinase cAMP-activated catalytic subunit alpha,P17612,601639.0,PRKACA,5566.0,Cytosol,Basal body;Cytokinetic bridge;Microtubules;Primary cilium,,Basal body (GO:0036064);Cytokinetic bridge (GO:0045171);Cytosol (GO:0005829);Microtubules (GO:0015630);Primary cilium (GO:0005929)
ADGRL1,ENSG00000072071,Adhesion G protein-coupled receptor L1,O94910,616416.0,ADGRL1,22859.0,,,,
SPP2,ENSG00000072080,Secreted phosphoprotein 2,Q13103,602637.0,SPP2,6694.0,,,,
ACTN1,ENSG00000072110,Actinin alpha 1,P12814,102575.0,ACTN1,87.0,Actin filaments;Focal adhesion sites;Plasma membrane,Cytosol;Primary cilium;Primary cilium transition zone,,Actin filaments (GO:0015629);Cytosol (GO:0005829);Focal adhesion sites (GO:0005925);Plasma membrane (GO:0005886);Primary cilium (GO:0005929);Primary cilium transition zone ()
ZFYVE26,ENSG00000072121,Zinc finger FYVE-type containing 26,Q68DK2,612012.0,ZFYVE26,23503.0,,,,
RPS6KA6,ENSG00000072133,Ribosomal protein S6 kinase A6,Q9UK32,300303.0,RPS6KA6,27330.0,Mitochondria;Nucleoplasm,Nucleoli,,Mitochondria (GO:0005739);Nucleoli (GO:0005730);Nucleoplasm (GO:0005654)
EPN2,ENSG00000072134,Epsin 2,O95208,607263.0,EPN2,22905.0,Vesicles,,,Vesicles (GO:0043231)
PTPN18,ENSG00000072135,Protein tyrosine phosphatase non-receptor type 18,Q99952,606587.0,PTPN18,26469.0,Intermediate filaments,,,Intermediate filaments (GO:0045111)
LIMS2,ENSG00000072163,LIM zinc finger domain containing 2,Q7Z4I7,607908.0,LIMS2,55679.0,Focal adhesion sites,,,Focal adhesion sites (GO:0005925)
ASIC4,ENSG00000072182,Acid sensing ion channel subunit family member 4,Q96FT7,606715.0,ASIC4,55515.0,Golgi apparatus,,,Golgi apparatus (GO:0005794)
SPEG,ENSG00000072195,Striated muscle enriched protein kinase,Q15772,615950.0,SPEG,10290.0,Vesicles,,,Vesicles (GO:0043231)
LNX1,ENSG00000072201,Ligand of numb-protein X 1,Q8TBB1,609732.0,LNX1,84708.0,Cell Junctions,Cytosol,,Cell Junctions (GO:0030054);Cytosol (GO:0005829)
ALDH3A2,ENSG00000072210,Aldehyde dehydrogenase 3 family member A2,P51648,609523.0,ALDH3A2,224.0,Cytosol;Endoplasmic reticulum,,,Cytosol (GO:0005829);Endoplasmic reticulum (GO:0005783)
TFRC,ENSG00000072274,Transferrin receptor,P02786,190010.0,TFRC,7037.0,Endosomes;Lysosomes,,Predicted to be secreted,Endosomes (GO:0005768);Lysosomes (GO:0005764)
SREBF1,ENSG00000072310,Sterol regulatory element binding transcription factor 1,P36956,184756.0,SREBF1,6720.0,Nucleoplasm,,,Nucleoplasm (GO:0005654)
TRPC5,ENSG00000072315,Transient receptor potential cation channel subfamily C member 5,Q9UL62,300334.0,TRPC5,7224.0,,,,
